abbassare,"abbassare,abbassante,abbassando,abbassato,avere abbassato; essere abbassato,avendo abbassato; essendo abbassato,avente abbassato; essente abbassato","abbasso,abbassi,abbassa,abbassiamo,abbassate,abbassano","abbassavo,abbassavi,abbassava,abbassavamo,abbassavate,abbassavano","abbasserò,abbasserai,abbasserà,abbasseremo,abbasserete,abbasseranno","abbassai,abbassasti,abbassò,abbassammo,abbassaste,abbassarono","ho abbassato; sono abbassato,hai abbassato; sei abbassato,ha abbassato; è abbassato,abbiamo abbassato; siamo abbassati,avete abbassato; siete abbassati,hanno abbassato; sono abbassati","avevo abbassato; ero abbassato,avevi abbassato; eri abbassato,aveva abbassato; era abbassato,avevamo abbassato; eravamo abbassati,avevate abbassato; eravate abbassati,avevano abbassato; erano abbassati","avrò abbassato; sarò abbassato,avrai abbassato; sarai abbassato,avrà abbassato; sarà abbassato,avremo abbassato; saremo abbassati,avrete abbassato; sarete abbassati,avranno abbassato; saranno abbassati","ebbi abbassato; fui abbassato,avesti abbassato; fosti abbassato,ebbe abbassato; fu abbassato,avemmo abbassato; fummo abbassati,aveste abbassato; foste abbassati,ebbero abbassato; furono abbassati","abbassi,abbassi,abbassi,abbassiamo,abbassiate,abbassino","abbia abbassato; sia abbassato,abbia abbassato; sia abbassato,abbia abbassato; sia abbassato,abbiamo abbassato; siamo abbassati,abbiate abbassato; siate abbassati,abbiano abbassato; siano abbassati","abbassassi,abbassassi,abbassasse,abbassassimo,abbassaste,abbassassero","avessi abbassato; fossi abbassato,avessi abbassato; fossi abbassato,avesse abbassato; fosse abbassato,avessimo abbassato; fossimo abbassati,aveste abbassato; foste abbassati,avessero abbassato; fossero abbassati","abbasserei,abbasseresti,abbasserebbe,abbasseremmo,abbassereste,abbasserebbero","avrei abbassato; sarei abbassato,avresti abbassato; saresti abbassato,avrebbe abbassato; sarebbe abbassato,avremmo abbassato; saremmo abbassati,avreste abbassato; sareste abbassati,avrebbero abbassato; sarebbero abbassati","abbassa,abbassi,abbassiamo,abbassate,abbassino",
accendere,"accendere,accendente,accendendo,acceso,avere acceso,avendo acceso,avente acceso","accendo,accendi,accende,accendiamo,accendete,accendono","accendevo,accendevi,accendeva,accendevamo,accendevate,accendevano","accenderò,accenderai,accenderà,accenderemo,accenderete,accenderanno","accesi,accendesti,accese,accendemmo,accendeste,accesero","ho acceso,hai acceso,ha acceso,abbiamo acceso,avete acceso,hanno acceso","avevo acceso,avevi acceso,aveva acceso,avevamo acceso,avevate acceso,avevano acceso","avrò acceso,avrai acceso,avrà acceso,avremo acceso,avrete acceso,avranno acceso","ebbi acceso,avesti acceso,ebbe acceso,avemmo acceso,aveste acceso,ebbero acceso","accenda,accenda,accenda,accendiamo,accendiate,accendano","abbia acceso,abbia acceso,abbia acceso,abbiamo acceso,abbiate acceso,abbiano acceso","accendessi,accendessi,accendesse,accendessimo,accendeste,accendessero","avessi acceso,avessi acceso,avesse acceso,avessimo acceso,aveste acceso,avessero acceso","accenderei,accenderesti,accenderebbe,accenderemmo,accendereste,accenderebbero","avrei acceso,avresti acceso,avrebbe acceso,avremmo acceso,avreste acceso,avrebbero acceso","accendi,accenda,accendiamo,accendete,accendano",
affittare,"affittare,affittante,affittando,affittato,avere affittato,avendo affittato,avente affittato","affitto,affitti,affitta,affittiamo,affittate,affittano","affittavo,affittavi,affittava,affittavamo,affittavate,affittavano","affitterò,affitterai,affitterà,affitteremo,affitterete,affitteranno","affittai,affittasti,affittò,affittammo,affittaste,affittarono","ho affittato,hai affittato,ha affittato,abbiamo affittato,avete affittato,hanno affittato","avevo affittato,avevi affittato,aveva affittato,avevamo affittato,avevate affittato,avevano affittato","avrò affittato,avrai affittato,avrà affittato,avremo affittato,avrete affittato,avranno affittato","ebbi affittato,avesti affittato,ebbe affittato,avemmo affittato,aveste affittato,ebbero affittato","affitti,affitti,affitti,affittiamo,affittiate,affittino","abbia affittato,abbia affittato,abbia affittato,abbiamo affittato,abbiate affittato,abbiano affittato","affittassi,affittassi,affittasse,affittassimo,affittaste,affittassero","avessi affittato,avessi affittato,avesse affittato,avessimo affittato,aveste affittato,avessero affittato","affitterei,affitteresti,affitterebbe,affitteremmo,affittereste,affitterebbero","avrei affittato,avresti affittato,avrebbe affittato,avremmo affittato,avreste affittato,avrebbero affittato","affitta,affitti,affittiamo,affittate,affittino",
aggiungere,"aggiungere,aggiungente,aggiungendo,aggiunto,avere aggiunto,avendo aggiunto,avente aggiunto","aggiungo,aggiungi,aggiunge,aggiungiamo,aggiungete,aggiungono","aggiungevo,aggiungevi,aggiungeva,aggiungevamo,aggiungevate,aggiungevano","aggiungerò,aggiungerai,aggiungerà,aggiungeremo,aggiungerete,aggiungeranno","aggiunsi,aggiungesti,aggiunse,aggiungemmo,aggiungeste,aggiunsero","ho aggiunto,hai aggiunto,ha aggiunto,abbiamo aggiunto,avete aggiunto,hanno aggiunto","avevo aggiunto,avevi aggiunto,aveva aggiunto,avevamo aggiunto,avevate aggiunto,avevano aggiunto","avrò aggiunto,avrai aggiunto,avrà aggiunto,avremo aggiunto,avrete aggiunto,avranno aggiunto","ebbi aggiunto,avesti aggiunto,ebbe aggiunto,avemmo aggiunto,aveste aggiunto,ebbero aggiunto","aggiunga,aggiunga,aggiunga,aggiungiamo,aggiungiate,aggiungano","abbia aggiunto,abbia aggiunto,abbia aggiunto,abbiamo aggiunto,abbiate aggiunto,abbiano aggiunto","aggiungessi,aggiungessi,aggiungesse,aggiungessimo,aggiungeste,aggiungessero","avessi aggiunto,avessi aggiunto,avesse aggiunto,avessimo aggiunto,aveste aggiunto,avessero aggiunto","aggiungerei,aggiungeresti,aggiungerebbe,aggiungeremmo,aggiungereste,aggiungerebbero","avrei aggiunto,avresti aggiunto,avrebbe aggiunto,avremmo aggiunto,avreste aggiunto,avrebbero aggiunto","aggiungi,aggiunga,aggiungiamo,aggiungete,aggiungano",
aiutare,"aiutare,aiutante,aiutando,aiutato,avere aiutato,avendo aiutato,avente aiutato","aiuto,aiuti,aiuta,aiutiamo,aiutate,aiutano","aiutavo,aiutavi,aiutava,aiutavamo,aiutavate,aiutavano","aiuterò,aiuterai,aiuterà,aiuteremo,aiuterete,aiuteranno","aiutai,aiutasti,aiutò,aiutammo,aiutaste,aiutarono","ho aiutato,hai aiutato,ha aiutato,abbiamo aiutato,avete aiutato,hanno aiutato","avevo aiutato,avevi aiutato,aveva aiutato,avevamo aiutato,avevate aiutato,avevano aiutato","avrò aiutato,avrai aiutato,avrà aiutato,avremo aiutato,avrete aiutato,avranno aiutato","ebbi aiutato,avesti aiutato,ebbe aiutato,avemmo aiutato,aveste aiutato,ebbero aiutato","aiuti,aiuti,aiuti,aiutiamo,aiutiate,aiutino","abbia aiutato,abbia aiutato,abbia aiutato,abbiamo aiutato,abbiate aiutato,abbiano aiutato","aiutassi,aiutassi,aiutasse,aiutassimo,aiutaste,aiutassero","avessi aiutato,avessi aiutato,avesse aiutato,avessimo aiutato,aveste aiutato,avessero aiutato","aiuterei,aiuteresti,aiuterebbe,aiuteremmo,aiutereste,aiuterebbero","avrei aiutato,avresti aiutato,avrebbe aiutato,avremmo aiutato,avreste aiutato,avrebbero aiutato","aiuta,aiuti,aiutiamo,aiutate,aiutino",
allenare,"allenare,allenante,allenando,allenato,avere allenato,avendo allenato,avente allenato","alleno,alleni,allena,alleniamo,allenate,allenano","allenavo,allenavi,allenava,allenavamo,allenavate,allenavano","allenerò,allenerai,allenerà,alleneremo,allenerete,alleneranno","allenai,allenasti,allenò,allenammo,allenaste,allenarono","ho allenato,hai allenato,ha allenato,abbiamo allenato,avete allenato,hanno allenato","avevo allenato,avevi allenato,aveva allenato,avevamo allenato,avevate allenato,avevano allenato","avrò allenato,avrai allenato,avrà allenato,avremo allenato,avrete allenato,avranno allenato","ebbi allenato,avesti allenato,ebbe allenato,avemmo allenato,aveste allenato,ebbero allenato","alleni,alleni,alleni,alleniamo,alleniate,allenino","abbia allenato,abbia allenato,abbia allenato,abbiamo allenato,abbiate allenato,abbiano allenato","allenassi,allenassi,allenasse,allenassimo,allenaste,allenassero","avessi allenato,avessi allenato,avesse allenato,avessimo allenato,aveste allenato,avessero allenato","allenerei,alleneresti,allenerebbe,alleneremmo,allenereste,allenerebbero","avrei allenato,avresti allenato,avrebbe allenato,avremmo allenato,avreste allenato,avrebbero allenato","allena,alleni,alleniamo,allenate,allenino",
amare,"amare,amante,amando,amato,avere amato,avendo amato,avente amato","amo,ami,ama,amiamo,amate,amano","amavo,amavi,amava,amavamo,amavate,amavano","amerò,amerai,amerà,ameremo,amerete,ameranno","amai,amasti,amò,amammo,amaste,amarono","ho amato,hai amato,ha amato,abbiamo amato,avete amato,hanno amato","avevo amato,avevi amato,aveva amato,avevamo amato,avevate amato,avevano amato","avrò amato,avrai amato,avrà amato,avremo amato,avrete amato,avranno amato","ebbi amato,avesti amato,ebbe amato,avemmo amato,aveste amato,ebbero amato","ami,ami,ami,amiamo,amiate,amino","abbia amato,abbia amato,abbia amato,abbiamo amato,abbiate amato,abbiano amato","amassi,amassi,amasse,amassimo,amaste,amassero","avessi amato,avessi amato,avesse amato,avessimo amato,aveste amato,avessero amato","amerei,ameresti,amerebbe,ameremmo,amereste,amerebbero","avrei amato,avresti amato,avrebbe amato,avremmo amato,avreste amato,avrebbero amato","ama,ami,amiamo,amate,amino",
andare,"andare,andante,andando,andato,essere andato,essendo andato,essente andato","vado; vo,vai,va,andiamo,andate,vanno","andavo,andavi,andava,andavamo,andavate,andavano","andrò,andrai,andrà,andremo,andrete,andranno","andai,andasti,andò,andammo,andaste,andarono","sono andato,sei andato,è andato,siamo andati,siete andati,sono andati","ero andato,eri andato,era andato,eravamo andati,eravate andati,erano andati","sarò andato,sarai andato,sarà andato,saremo andati,sarete andati,saranno andati","fui andato,fosti andato,fu andato,fummo andati,foste andati,furono andati","vada,vada,vada,andiamo,andiate,vadano","sia andato,sia andato,sia andato,siamo andati,siate andati,siano andati","andassi,andassi,andasse,andassimo,andaste,andassero","fossi andato,fossi andato,fosse andato,fossimo andati,foste andati,fossero andati","andrei,andresti,andrebbe,andremmo,andreste,andrebbero","sarei andato,saresti andato,sarebbe andato,saremmo andati,sareste andati,sarebbero andati","va'; vai,vada,andiamo,andate,vadano",
appartenere,"appartenere,appartenente,appartenendo,appartenuto,avere appartenuto; essere appartenuto,avendo appartenuto; essendo appartenuto,avente appartenuto; essente appartenuto","appartengo,appartieni,appartiene,apparteniamo,appartenete,appartengono","appartenevo,appartenevi,apparteneva,appartenevamo,appartenevate,appartenevano","apparterrò,apparterrai,apparterrà,apparterremo,apparterrete,apparterranno","appartenni,appartenesti,appartenne,appartenemmo,apparteneste,appartennero","ho appartenuto; sono appartenuto,hai appartenuto; sei appartenuto,ha appartenuto; è appartenuto,abbiamo appartenuto; siamo appartenuti,avete appartenuto; siete appartenuti,hanno appartenuto; sono appartenuti","avevo appartenuto; ero appartenuto,avevi appartenuto; eri appartenuto,aveva appartenuto; era appartenuto,avevamo appartenuto; eravamo appartenuti,avevate appartenuto; eravate appartenuti,avevano appartenuto; erano appartenuti","avrò appartenuto; sarò appartenuto,avrai appartenuto; sarai appartenuto,avrà appartenuto; sarà appartenuto,avremo appartenuto; saremo appartenuti,avrete appartenuto; sarete appartenuti,avranno appartenuto; saranno appartenuti","ebbi appartenuto; fui appartenuto,avesti appartenuto; fosti appartenuto,ebbe appartenuto; fu appartenuto,avemmo appartenuto; fummo appartenuti,aveste appartenuto; foste appartenuti,ebbero appartenuto; furono appartenuti","appartenga,appartenga,appartenga,apparteniamo,apparteniate,appartengano","abbia appartenuto; sia appartenuto,abbia appartenuto; sia appartenuto,abbia appartenuto; sia appartenuto,abbiamo appartenuto; siamo appartenuti,abbiate appartenuto; siate appartenuti,abbiano appartenuto; siano appartenuti","appartenessi,appartenessi,appartenesse,appartenessimo,apparteneste,appartenessero","avessi appartenuto; fossi appartenuto,avessi appartenuto; fossi appartenuto,avesse appartenuto; fosse appartenuto,avessimo appartenuto; fossimo appartenuti,aveste appartenuto; foste appartenuti,avessero appartenuto; fossero appartenuti","apparterrei,apparterresti,apparterrebbe,apparterremmo,apparterreste,apparterrebbero","avrei appartenuto; sarei appartenuto,avresti appartenuto; saresti appartenuto,avrebbe appartenuto; sarebbe appartenuto,avremmo appartenuto; saremmo appartenuti,avreste appartenuto; sareste appartenuti,avrebbero appartenuto; sarebbero appartenuti","appartieni,appartenga,apparteniamo,appartenete,appartengano",
aprire,"aprire,aprente,aprendo,aperto,avere aperto,avendo aperto,avente aperto","apro,apri,apre,apriamo,aprite,aprono","aprivo,aprivi,apriva,aprivamo,aprivate,aprivano","aprirò,aprirai,aprirà,apriremo,aprirete,apriranno","aprii; apersi,apristi,aprì; aperse,aprimmo,apriste,aprirono; apersero","ho aperto,hai aperto,ha aperto,abbiamo aperto,avete aperto,hanno aperto","avevo aperto,avevi aperto,aveva aperto,avevamo aperto,avevate aperto,avevano aperto","avrò aperto,avrai aperto,avrà aperto,avremo aperto,avrete aperto,avranno aperto","ebbi aperto,avesti aperto,ebbe aperto,avemmo aperto,aveste aperto,ebbero aperto","apra,apra,apra,apriamo,apriate,aprano","abbia aperto,abbia aperto,abbia aperto,abbiamo aperto,abbiate aperto,abbiano aperto","aprissi,aprissi,aprisse,aprissimo,apriste,aprissero","avessi aperto,avessi aperto,avesse aperto,avessimo aperto,aveste aperto,avessero aperto","aprirei,apriresti,aprirebbe,apriremmo,aprireste,aprirebbero","avrei aperto,avresti aperto,avrebbe aperto,avremmo aperto,avreste aperto,avrebbero aperto","apri,apra,apriamo,aprite,aprano",
