amare,"amare,amante,amando,amato,avere amato,avendo amato,avente amato","amo,ami,ama,amiamo,amate,amano","amavo,amavi,amava,amavamo,amavate,amavano","amerò,amerai,amerà,ameremo,amerete,ameranno","amai,amasti,amò,amammo,amaste,amarono","ho amato,hai amato,ha amato,abbiamo amato,avete amato,hanno amato","avevo amato,avevi amato,aveva amato,avevamo amato,avevate amato,avevano amato","avrò amato,avrai amato,avrà amato,avremo amato,avrete amato,avranno amato","ebbi amato,avesti amato,ebbe amato,avemmo amato,aveste amato,ebbero amato","ami,ami,ami,amiamo,amiate,amino","abbia amato,abbia amato,abbia amato,abbiamo amato,abbiate amato,abbiano amato","amassi,amassi,amasse,amassimo,amaste,amassero","avessi amato,avessi amato,avesse amato,avessimo amato,aveste amato,avessero amato","amerei,ameresti,amerebbe,ameremmo,amereste,amerebbero","avrei amato,avresti amato,avrebbe amato,avremmo amato,avreste amato,avrebbero amato","ama,ami,amiamo,amate,amino",
andare,"andare,andante,andando,andato,essere andato,essendo andato,essente andato","vado; vo,vai,va,andiamo,andate,vanno","andavo,andavi,andava,andavamo,andavate,andavano","andrò,andrai,andrà,andremo,andrete,andranno","andai,andasti,andò,andammo,andaste,andarono","sono andato,sei andato,è andato,siamo andati,siete andati,sono andati","ero andato,eri andato,era andato,eravamo andati,eravate andati,erano andati","sarò andato,sarai andato,sarà andato,saremo andati,sarete andati,saranno andati","fui andato,fosti andato,fu andato,fummo andati,foste andati,furono andati","vada,vada,vada,andiamo,andiate,vadano","sia andato,sia andato,sia andato,siamo andati,siate andati,siano andati","andassi,andassi,andasse,andassimo,andaste,andassero","fossi andato,fossi andato,fosse andato,fossimo andati,foste andati,fossero andati","andrei,andresti,andrebbe,andremmo,andreste,andrebbero","sarei andato,saresti andato,sarebbe andato,saremmo andati,sareste andati,sarebbero andati","va'; vai,vada,andiamo,andate,vadano",
apparire,"apparire,apparente,apparendo,apparito; apparso,essere apparito; apparso,essendo apparito; apparso,essente apparito; apparso","appaio; apparisco,appari; apparisci,appare; apparisce,appariamo,apparite,appaiono; appariscono","apparivo,apparivi,appariva,apparivamo,apparivate,apparivano","apparirò; apparrò,apparirai; apparrai,apparirà; apparrà,appariremo; apparremo,apparirete; apparrete,appariranno; apparranno","apparii; apparvi; apparsi,apparisti,apparì; apparve; apparse,apparimmo,appariste,apparirono; apparvero; apparsero","sono apparito; apparso,sei apparito; apparso,è apparito; apparso,siamo apparito; apparsi,siete apparito; apparsi,sono apparito; apparsi","ero apparito; apparso,eri apparito; apparso,era apparito; apparso,eravamo apparito; apparsi,eravate apparito; apparsi,erano apparito; apparsi","sarò apparito; apparso,sarai apparito; apparso,sarà apparito; apparso,saremo apparito; apparsi,sarete apparito; apparsi,saranno apparito; apparsi","fui apparito; apparso,fosti apparito; apparso,fu apparito; apparso,fummo apparito; apparsi,foste apparito; apparsi,furono apparito; apparsi","appaia; apparisca,appaia; apparisca,appaia; apparisca,appariamo,appariate,appaiano; appariscano","sia apparito; apparso,sia apparito; apparso,sia apparito; apparso,siamo apparito; apparsi,siate apparito; apparsi,siano apparito; apparsi","apparissi,apparissi,apparisse,apparissimo,appariste,apparissero","fossi apparito; apparso,fossi apparito; apparso,fosse apparito; apparso,fossimo apparito; apparsi,foste apparito; apparsi,fossero apparito; apparsi","apparirei; apparrei,appariresti; apparresti,apparirebbe; apparrebbe,appariremmo; apparremmo,apparireste; apparreste,apparirebbero; apparrebbero","sarei apparito; apparso,saresti apparito; apparso,sarebbe apparito; apparso,saremmo apparito; apparsi,sareste apparito; apparsi,sarebbero apparito; apparsi","appari; apparisci,appaia; apparisca,appariamo,apparite,appaiano; appariscano",
aprire,"aprire,aprente,aprendo,aperto,avere aperto,avendo aperto,avente aperto","apro,apri,apre,apriamo,aprite,aprono","aprivo,aprivi,apriva,aprivamo,aprivate,aprivano","aprirò,aprirai,aprirà,apriremo,aprirete,apriranno","aprii; apersi,apristi,aprì; aperse,aprimmo,apriste,aprirono; apersero","ho aperto,hai aperto,ha aperto,abbiamo aperto,avete aperto,hanno aperto","avevo aperto,avevi aperto,aveva aperto,avevamo aperto,avevate aperto,avevano aperto","avrò aperto,avrai aperto,avrà aperto,avremo aperto,avrete aperto,avranno aperto","ebbi aperto,avesti aperto,ebbe aperto,avemmo aperto,aveste aperto,ebbero aperto","apra,apra,apra,apriamo,apriate,aprano","abbia aperto,abbia aperto,abbia aperto,abbiamo aperto,abbiate aperto,abbiano aperto","aprissi,aprissi,aprisse,aprissimo,apriste,aprissero","avessi aperto,avessi aperto,avesse aperto,avessimo aperto,aveste aperto,avessero aperto","aprirei,apriresti,aprirebbe,apriremmo,aprireste,aprirebbero","avrei aperto,avresti aperto,avrebbe aperto,avremmo aperto,avreste aperto,avrebbero aperto","apri,apra,apriamo,aprite,aprano",
avere,"avere,avente,avendo,avuto,avere avuto,avendo avuto,avente avuto","ho,hai,ha,abbiamo,avete,hanno","avevo,avevi,aveva,avevamo,avevate,avevano","avrò,avrai,avrà,avremo,avrete,avranno","ebbi,avesti,ebbe,avemmo,aveste,ebbero","ho avuto,hai avuto,ha avuto,abbiamo avuto,avete avuto,hanno avuto","avevo avuto,avevi avuto,aveva avuto,avevamo avuto,avevate avuto,avevano avuto","avrò avuto,avrai avuto,avrà avuto,avremo avuto,avrete avuto,avranno avuto","ebbi avuto,avesti avuto,ebbe avuto,avemmo avuto,aveste avuto,ebbero avuto","abbia,abbia,abbia,abbiamo,abbiate,abbiano","abbia avuto,abbia avuto,abbia avuto,abbiamo avuto,abbiate avuto,abbiano avuto","avessi,avessi,avesse,avessimo,aveste,avessero","avessi avuto,avessi avuto,avesse avuto,avessimo avuto,aveste avuto,avessero avuto","avrei,avresti,avrebbe,avremmo,avreste,avrebbero","avrei avuto,avresti avuto,avrebbe avuto,avremmo avuto,avreste avuto,avrebbero avuto","abbi,abbia,abbiamo,abbiate,abbiano",
avvertire,"avvertire,avvertente,avvertendo,avvertito,avere avvertito,avendo avvertito,avente avvertito","avverto,avverti,avverte,avvertiamo,avvertite,avvertono","avvertivo,avvertivi,avvertiva,avvertivamo,avvertivate,avvertivano","avvertirò,avvertirai,avvertirà,avvertiremo,avvertirete,avvertiranno","avvertii,avvertisti,avvertì,avvertimmo,avvertiste,avvertirono","ho avvertito,hai avvertito,ha avvertito,abbiamo avvertito,avete avvertito,hanno avvertito","avevo avvertito,avevi avvertito,aveva avvertito,avevamo avvertito,avevate avvertito,avevano avvertito","avrò avvertito,avrai avvertito,avrà avvertito,avremo avvertito,avrete avvertito,avranno avvertito","ebbi avvertito,avesti avvertito,ebbe avvertito,avemmo avvertito,aveste avvertito,ebbero avvertito","avverta,avverta,avverta,avvertiamo,avvertiate,avvertano","abbia avvertito,abbia avvertito,abbia avvertito,abbiamo avvertito,abbiate avvertito,abbiano avvertito","avvertissi,avvertissi,avvertisse,avvertissimo,avvertiste,avvertissero","avessi avvertito,avessi avvertito,avesse avvertito,avessimo avvertito,aveste avvertito,avessero avvertito","avvertirei,avvertiresti,avvertirebbe,avvertiremmo,avvertireste,avvertirebbero","avrei avvertito,avresti avvertito,avrebbe avvertito,avremmo avvertito,avreste avvertito,avrebbero avvertito","avverti,avverta,avvertiamo,avvertite,avvertano",
bere,"bere; bevere,bevente,bevendo,bevuto,avere bevuto,avendo bevuto,avente bevuto","bevo,bevi,beve,beviamo,bevete,bevono","bevevo,bevevi,beveva,bevevamo,bevevate,bevevano","berrò,berrai,berrà,berremo,berrete,berranno","bevvi; bevetti,bevesti,bevve; bevette,bevemmo,beveste,bevvero; bevettero","ho bevuto,hai bevuto,ha bevuto,abbiamo bevuto,avete bevuto,hanno bevuto","avevo bevuto,avevi bevuto,aveva bevuto,avevamo bevuto,avevate bevuto,avevano bevuto","avrò bevuto,avrai bevuto,avrà bevuto,avremo bevuto,avrete bevuto,avranno bevuto","ebbi bevuto,avesti bevuto,ebbe bevuto,avemmo bevuto,aveste bevuto,ebbero bevuto","beva,beva,beva,beviamo,beviate,bevano","abbia bevuto,abbia bevuto,abbia bevuto,abbiamo bevuto,abbiate bevuto,abbiano bevuto","bevessi,bevessi,bevesse,bevessimo,beveste,bevessero","avessi bevuto,avessi bevuto,avesse bevuto,avessimo bevuto,aveste bevuto,avessero bevuto","berrei,berresti,berrebbe,berremmo,berreste,berrebbero","avrei bevuto,avresti bevuto,avrebbe bevuto,avremmo bevuto,avreste bevuto,avrebbero bevuto","bevi,beva,beviamo,bevete,bevano",
bollire,"bollire,bollente,bollendo,bollito,avere bollito,avendo bollito,avente bollito","bollisco,bollisci,bollisce,bolliamo,bollite,bolliscono","bollivo,bollivi,bolliva,bollivamo,bollivate,bollivano","bollirò,bollirai,bollirà,bolliremo,bollirete,bolliranno","bollii,bollisti,bollì,bollimmo,bolliste,bollirono","ho bollito,hai bollito,ha bollito,abbiamo bollito,avete bollito,hanno bollito","avevo bollito,avevi bollito,aveva bollito,avevamo bollito,avevate bollito,avevano bollito","avrò bollito,avrai bollito,avrà bollito,avremo bollito,avrete bollito,avranno bollito","ebbi bollito,avesti bollito,ebbe bollito,avemmo bollito,aveste bollito,ebbero bollito","bollisca,bollisca,bollisca,bolliamo,bolliate,bolliscano","abbia bollito,abbia bollito,abbia bollito,abbiamo bollito,abbiate bollito,abbiano bollito","bollissi,bollissi,bollisse,bollissimo,bolliste,bollissero","avessi bollito,avessi bollito,avesse bollito,avessimo bollito,aveste bollito,avessero bollito","bollirei,bolliresti,bollirebbe,bolliremmo,bollireste,bollirebbero","avrei bollito,avresti bollito,avrebbe bollito,avremmo bollito,avreste bollito,avrebbero bollito","bollisci,bollisca,bolliamo,bollite,bolliscano",
cadere,"cadere,cadente,cadendo,caduto,essere caduto,essendo caduto,essente caduto","cado,cadi,cade,cadiamo,cadete,cadono","cadevo,cadevi,cadeva,cadevamo,cadevate,cadevano","cadrò,cadrai,cadrà,cadremo,cadrete,cadranno","caddi,cadesti,cadde,cademmo,cadeste,caddero","sono caduto,sei caduto,è caduto,siamo caduti,siete caduti,sono caduti","ero caduto,eri caduto,era caduto,eravamo caduti,eravate caduti,erano caduti","sarò caduto,sarai caduto,sarà caduto,saremo caduti,sarete caduti,saranno caduti","fui caduto,fosti caduto,fu caduto,fummo caduti,foste caduti,furono caduti","cada,cada,cada,cadiamo,cadiate,cadano","sia caduto,sia caduto,sia caduto,siamo caduti,siate caduti,siano caduti","cadessi,cadessi,cadesse,cadessimo,cadeste,cadessero","fossi caduto,fossi caduto,fosse caduto,fossimo caduti,foste caduti,fossero caduti","cadrei,cadresti,cadrebbe,cadremmo,cadreste,cadrebbero","sarei caduto,saresti caduto,sarebbe caduto,saremmo caduti,sareste caduti,sarebbero caduti","cadi,cada,cadiamo,cadete,cadano",
capire,"capire,capente,capendo,capito,avere capito,avendo capito,avente capito","capisco,capisci,capisce,capiamo,capite,capiscono","capivo,capivi,capiva,capivamo,capivate,capivano","capirò,capirai,capirà,capiremo,capirete,capiranno","capii,capisti,capì,capimmo,capiste,capirono","ho capito,hai capito,ha capito,abbiamo capito,avete capito,hanno capito","avevo capito,avevi capito,aveva capito,avevamo capito,avevate capito,avevano capito","avrò capito,avrai capito,avrà capito,avremo capito,avrete capito,avranno capito","ebbi capito,avesti capito,ebbe capito,avemmo capito,aveste capito,ebbero capito","capisca,capisca,capisca,capiamo,capiate,capiscano","abbia capito,abbia capito,abbia capito,abbiamo capito,abbiate capito,abbiano capito","capissi,capissi,capisse,capissimo,capiste,capissero","avessi capito,avessi capito,avesse capito,avessimo capito,aveste capito,avessero capito","capirei,capiresti,capirebbe,capiremmo,capireste,capirebbero","avrei capito,avresti capito,avrebbe capito,avremmo capito,avreste capito,avrebbero capito","capisci,capisca,capiamo,capite,capiscano",
